PF,ECTS
57.46,8
45.97,5
50.77,7
40.26,4
43.56,4
43.4,4
49.93,7
14.91,4
55.24,8
31.03,4
46.25,6
36.05,4
53.15,8
47.89,6
53.74,8
72.8,9
45.69,5
60.28,8
45.42,6
48.26,6
23.2,4
46.23,6
45.47,6
49.07,6
53.99,8
43.11,4
48.09,7
49.14,7
39.38,4
36.66,4
46.76,7
55.44,7
24.95,4
55.39,7
51.67,8
52.59,8
18.33,4
52.84,8
0.04,4
51.37,7
50.14,7
44.3,4
46.24,6
49.04,7
47.42,7
45.1,5
37.88,4
75.98,9
51.04,8
49.05,7
61.11,9
45.04,5
50.72,7
69.46,9
63.98,9
65.28,9
55.9,8
46.19,6
43.37,4
45,5
48.32,7
42.83,4
32.1,4
45.66,6
41.98,4
57.87,8
26.15,4
33.11,4
52.02,7
46.92,6
43.3,4
48.95,7
52.49,8
31.46,4
50.22,7
50.6,7
50.4,8
46.14,6
50.34,7
53.16,8
35.15,4
12.62,4
45.78,6
48.64,7
127.87,10
46.92,6
33.66,4
79.9,10
53.22,8
33.88,4
50.57,7
28.09,4
45.04,5
49.67,7
49.94,7
40.96,4
58.77,8
86.52,10
27.38,4
73.31,9
56.97,8
56.19,8
46.68,6
47.38,6
51.1,7
0.11,4
4.46,4
48.23,7
0,4
78.32,10
50.8,6
59.61,8
50.46,7
59.39,8
49.7,7
49.41,7
34.17,4
74.41,9
53.5,8
43.94,4
48.91,7
50.71,8
51.26,7
30.02,4
96.98,10
74.85,9
30.78,4
35.5,4
49.51,7
45.45,5
58.6,8
45.99,6
45.22,6
33.11,4
102.14,10
45.97,6
59.11,8
49.98,7
52.72,8
5.87,4
52.75,7
45.14,6
49.43,7
39.08,4
52.01,8
47.34,6
54.26,8
58.56,8
48.88,7
1.63,4
53.73,7
39.93,4
47.44,7
42.08,4
55.12,8
57.88,8
41.63,4
42.74,4
29.07,4
47.33,6
47.32,6
48.47,7
47.48,6
43.76,4
51.05,7
49.84,7
46.54,6
46.74,6
48.19,6
58.38,8
41.31,4
46.53,6
45.41,6
48.61,7
52.76,7
51.89,7
81.58,10
51.28,7
43.48,4
31.92,4
49.27,7
45.01,5
53.52,8
50.11,7
56.14,8
86.43,10
38.59,4
56.48,8
47.08,6
45,5
39.57,4
51.87,8
42.8,4
41.11,4
45.57,6
54.52,7
3.15,4
50.29,7
57.17,8
49.35,7
49.02,7
46.27,6
51.94,8
24.52,4
46.71,6
48.96,7
6.08,4
54.21,8
45.01,5
55.21,8
15.52,4
0,4
49.68,7
8.8,4
70.81,9
42.52,4
48.37,7
74.98,9
0,4
48.04,6
35.47,4
42.85,4
56.43,8
48.25,6
42.78,4
29.45,4
5.58,4
32.75,4
48.94,6
49.82,7
55.3,8
42.59,4
45.01,5
20.05,4
54.33,8
45.25,5
48.54,7
80.14,10
58.07,8
48.26,7
42.16,4
49.25,7
48.94,7
70.05,9
46.94,6
0,4
50.37,7
50.64,7
30.63,4
38.14,4
46.1,5
45.07,5
46.6,6
76.04,9
77.62,9
46.71,6
51.22,7
45.15,5
50.35,7
0,4
48.6,7
50.35,8
25.46,4
51.18,7
71.95,9
47.79,7
88.62,10
40.95,4
47.74,6
49.53,7
13.01,4
46.96,6
48.42,7
37.59,4
43.22,4
49.1,7
0,4
45.22,5
47.69,6
25.35,4
50.84,6
50.62,8
22.28,4
50.18,7
42.84,4
45.21,5
56.87,8
48,7
36.69,4
58.84,8
50.63,6
45.03,5
39.97,4
49.07,7
51.17,8
60.76,9
32.06,4
48.71,7
0,4
52.53,8
48.04,6
43.66,4
9.05,4
51.08,7
49.87,7
33.96,4
31.99,4
76.38,9
39.88,4
24.94,4
43.13,4
51.47,8
47.06,7
3.37,4
47.44,6
30.92,4
49.94,7
65.07,9
58.6,8
51.28,7
46.92,6
66.32,9
86.14,10
47.22,6
45.56,6
54.13,8
61.91,9
72.73,9
95.45,10
49.85,7
50.78,7
53.34,8
60.22,9
43.45,4
0,0
45.08,5
43.31,4
52.42,8
25.33,4
43.43,4
1.63,4
46.98,6
57.69,8
49.57,7
45.11,5
51.22,7
55.85,8
50.1,7
52.53,8
32.86,4
41.06,4
49.8,7
37.62,4
50.27,7
51.89,8
47.78,7
43.34,4
40.45,4
51.46,8
10.94,4
62.7,8
38.91,4
45.64,6
57.01,8
13.42,4
40.77,4
63.68,8
23.58,4
97.85,10
46.44,6
46.15,6
101.35,10
61.71,9
41.39,4
15.82,4
40.6,4
43.26,4
54.21,8
48.44,7
91.83,10
59.88,8
42.88,4
40.16,4
47.2,6
58.97,8
46.87,6
66.66,9
49.13,7
34.3,4
54.11,8
25.75,4
51.79,8
25.37,4
40.41,4
57.13,8
47.45,6
45.95,8
4.6,4
40.45,4
45.47,6
44.17,4
27.99,4
41.92,4
53.73,8
46.66,6
0,4
62.67,9
46.99,6
48.46,7
66.61,9
0,4
44.37,4
48.77,7
52.41,8
45.01,5
45.79,5
41.16,4
43.92,4
47.33,6
13.42,4
51.09,7
50.61,7
51.71,7
38.86,4
57.87,8
49.69,6
45.03,5
53.75,8
45.65,6
58.53,8
58.27,8
1.63,4
36.29,4
43.3,4
31.3,4
59.25,9
33.09,4
53.69,8
60.46,8
17.14,4
25.79,4
54.67,8
47.65,7
43.89,4
46.7,7
53.49,8
45.01,5
68.18,9
71.53,9
61.09,9
54.48,8
15.94,4
54.86,7
1.63,4
49.36,7
46.97,6
46.68,6
39.66,4
46,6
50.41,7
66.14,9
33.81,4
47.69,7
49.25,7
46.33,7
47.22,6
52.44,8
4.78,4
60.57,9
44.39,4
51.23,7
16.8,4
76.57,9
49.04,7
53.87,7
12.13,4
37.2,4
45.9,6
45.02,5
39.61,4
48.89,7
45.02,5
47.32,6
58.73,8
53.39,8
49.11,7
40.23,4
48.63,7
42.54,4
18.57,4
21.84,4
54.83,7
40.24,4
45.02,5
35.31,4
43.14,4
37.58,4
48.69,7
114.85,10
48.17,7
81.34,10
48.83,7
50.87,7
48.44,6
94.83,10
45.28,5
47.56,7
35.98,4
48.3,7
49,7
49.36,7
53.32,8
45.03,5
56.3,8
0,4
51.03,8
27.72,4
48.56,7
49.4,6
35.69,4
66.9,9
55.95,8
42.93,4
45.17,5
47.82,7
40.28,4
62.14,9
50.62,7
48.92,7
48.83,7
50.39,7
48.12,6
55.11,7
57.61,8
60.86,8
46.02,6
64.1,9
47.7,7
24.13,4
48.85,7
51.42,8
45.59,6
39.54,4
84.69,10
45.27,5
45.9,6
46.02,6
28.82,4
55.95,8
