Year,Gender,Class,NrPS1,NrPSM1,NrPSA1,NrPCA1,NrPC1,NFS1,NPS1,NPC1,NET1,NL1,NrPS2,NrPSM2,NrPSA2,NrPCA2,NrPC2,NFS2,NPS2,NPC2,NET2,NL2,BS,PF,ECTS
2011,0,9,7,0,0,0,3,10,0,0.72,5.6,2.3,7,0,0,0,6,10,0,1.59,8.4,2.65,0.56,42.3,4
2016,0,14,6,0,0,0,4,9.42,0,1.01,3.4,1.8,0,0,0,0,0,0,0,0,0,0,1.5,16.46,4
2013,0,9,7,0,0,0,7,10,0,1.88,5.3,2.2,7,0,0,0,7,10,0,1.88,5.1,2,3.25,39.54,4
2009,0,2,3,0,0,0,0,6.23,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,4.78,4
2016,1,9,7,0,0,0,7,10,0,1.88,5.2,2.2,7,0,0,0,6,10,0,1.59,3.5,2.8,11.21,47.26,6
2013,0,14,7,0,0,0,5,10,0,1.3,3.4,2.2,6,0,2,0,6,9.42,0.43,1.59,7.5,4,1.75,41.94,4
2014,0,11,7,0,1,0,6,10,0.14,1.59,8.3,2.1,7,1,0,0,6,10,2.17,1.59,9.9,2,3.5,51.53,7
2013,0,13,6,0,1,0,7,9.42,0.14,1.88,7.6,3.2,7,1,4,0,7,10,3.33,1.88,7.6,2.2,5,52.43,8
2014,0,4,7,0,1,0,6,10,0.14,1.59,8.3,2.5,7,0,0,0,5,10,0,1.3,9,2.38,3.5,49.53,7
2010,1,14,7,2,3,1,5,10,5.07,3.62,9.5,6.1,7,3,2,0,4,10,6.52,1.01,8.5,4.9,18.5,88,10
2016,1,11,7,1,0,0,7,10,2.17,2.02,3.9,1.9,5,3,0,0,7,8.55,5.94,1.88,1.3,2.8,4.5,42.3,4
2009,0,11,4,0,0,0,0,7.68,0,0,6,0,3,0,0,0,4,5.94,0,1.01,6.5,0,0,26.09,4
2009,0,6,7,1,0,0,0,10,2.17,0,6.2,2.1,6,2,0,0,0,9.71,4.2,0,7.3,2.5,0,46.08,6
2013,0,1,5,0,1,0,6,8.55,0.14,1.59,3.2,2.5,7,0,0,0,7,10,0,1.88,7.2,2.4,2.03,38.53,4
2016,0,1,7,0,0,0,7,10,0,1.88,2.6,2.4,7,2,1,0,7,10,4.49,1.88,1.6,2.35,4.78,38.69,4
2016,1,10,7,0,0,0,5,10,0,1.3,2.4,1.7,7,0,0,0,5,10,0,1.3,1.4,0,8.64,32.33,4
2009,0,5,6,0,0,0,0,9.42,0,0,1.9,0,7,0,0,0,2,10,0,0.43,4.2,2,0,25.8,4
2016,0,2,7,0,0,0,7,10,0,1.88,4.5,1.7,6,1,0,0,7,9.42,2.17,1.88,1.4,2,6.64,38.5,4
2014,1,5,7,1,1,0,6,10,2.46,1.59,7.6,3.75,7,0,0,0,7,10,0,1.88,8.3,2.4,4.14,53.11,8
2012,0,12,7,1,2,0,6,10,2.75,1.59,6.4,4,7,2,1,0,1,10,4.49,0.14,5.8,2.8,7.03,56.85,7
2011,0,14,7,0,0,0,5,10,0,1.3,8.1,2.5,7,1,2,0,4,10,2.75,1.01,8.3,2.6,0.14,47.89,7
2013,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2012,0,9,5,0,0,0,0,8.55,0,0,4.2,2.5,6,0,0,0,0,9.42,0,0,3.3,2,2.03,32.76,4
2011,1,12,7,0,1,0,3,10,0.14,0.72,9.4,2.75,7,0,1,0,6,10,0.14,1.59,8.4,3.2,2.14,50.66,7
2010,0,14,7,0,0,1,2,10,0,2.75,5.5,2.65,7,0,0,0,5,10,0,1.3,6.9,3,0,41.4,4
2014,0,3,7,0,0,0,5,10,0,1.3,8.6,2.5,6,0,0,0,3,9.42,0,0.86,8.4,2.45,0,45.02,5
2011,0,1,7,5,1,2,1,10,8.84,4.49,8.7,3,7,5,0,2,2,10,8.55,4.78,8.3,3.1,13.56,80.19,10
2012,0,6,6,0,2,0,6,9.42,0.43,1.59,9.2,2.4,7,2,1,0,5,10,4.49,1.3,6,2,6.37,53.28,7
2014,0,8,7,0,0,0,6,10,0,1.59,5,2.8,6,0,0,0,7,9.42,0,1.88,6.2,2.6,4.02,42.9,4
2010,1,14,7,1,2,2,4,10,2.75,5.36,6.5,2.6,7,1,0,0,10,10,2.17,2.75,6.6,2.8,0,47.77,7
2011,0,6,7,0,0,0,3,10,0,0.72,9.7,2.7,6,0,0,0,3,9.42,0,0.72,9.6,2.4,7.5,55.48,8
