Gender,Class,NrPS1,NrPSM1,NrPSA1,NrPCA1,NrPC1,NET1,NL1,NrPS2,NrPSM2,NrPSA2,NrPCA2,NrPC2,NET2,NL2,BS,PF
0,1,7,5,1,2,1,8.7,3,7,5,0,2,2,8.3,3.1,13.56,80.19
0,6,6,0,2,0,6,9.2,2.4,7,2,1,0,5,6,2,6.37,53.28
0,8,7,0,0,0,6,5,2.8,6,0,0,0,7,6.2,2.6,4.02,42.9
1,14,7,1,2,2,4,6.5,2.6,7,1,0,0,10,6.6,2.8,0,47.77
0,6,7,0,0,0,3,9.7,2.7,6,0,0,0,3,9.6,2.4,7.5,55.48
0,3,6,4,0,0,4,7,2.1,7,4,0,5,1,9.5,4.5,0,63.98
0,14,7,7,0,0,6,6,3.4,6,2,0,0,1,3.2,2.73,2,53.88
0,14,5,0,0,0,0,8.6,2.2,2,0,0,0,0,4.1,0,0,29.29
0,8,5,1,0,0,0,6.4,2.25,3,0,0,0,0,0,0,0,24.98
0,10,5,0,0,0,4,5.1,2.1,7,0,0,0,3,7.1,2.9,0,38.35
1,3,7,1,0,0,7,7.2,2.3,7,0,0,0,7,7.25,2.3,7,52.46
0,1,7,0,0,0,5,2.2,2.1,7,0,0,0,6,5,2.4,0,32.6
1,9,7,0,0,0,6,8.4,2.4,7,1,1,0,6,7.3,2.3,12.51,58.62
1,2,7,1,4,0,7,5.4,2.8,7,4,1,0,7,6.2,3.6,8,60.65
0,13,6,1,2,0,4,6.7,2.8,6,1,1,0,5,9.8,2.3,17,66.69
0,12,7,0,4,0,7,8.5,2,7,2,0,0,6,5.6,2.1,4.5,51.29
1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.58
1,4,7,0,0,0,7,5.2,2.6,7,0,1,0,7,2,2.8,10.71,45.51
0,14,7,1,1,0,6,9.2,2.2,7,2,1,0,5,8.8,2.25,0,52.96
0,13,7,0,0,0,7,4.2,2.15,7,0,0,0,6,3.4,2.1,3.5,36.31
0,6,6,1,4,0,3,8.5,2.3,7,4,1,0,0,6.9,2,2,54.75
0,13,6,1,1,0,3,0,2.05,4,0,0,0,0,0,0,0,19.05
0,13,7,2,2,0,4,9.7,2,6,1,1,0,0,8.7,2.05,0,52.36
0,12,7,2,3,0,6,9.6,3.15,6,1,1,0,6,5.1,2.7,6.74,58.24
1,14,7,0,0,0,6,8.5,2.7,7,0,0,0,7,7.7,2.25,5.14,49.92
0,4,7,1,0,0,5,7.3,2.4,7,0,0,0,7,8.5,2.3,1.5,47.44
0,9,6,0,0,0,2,4.1,2.5,7,1,1,0,7,5.6,2.1,9.93,47.71
0,5,7,0,0,0,6,8.4,2.5,7,0,0,0,6,2.7,2.8,9,47.92
0,3,7,1,1,0,6,7.9,2.1,2,0,1,0,0,0,0,0,27.2
1,13,7,3,1,0,7,8.8,2.8,7,3,0,2,5,7,3.2,39.25,103.12
0,1,7,2,0,0,7,4.1,2,7,1,0,0,3,5.1,2.23,9.64,51.3
0,11,7,2,3,0,6,7.8,3.4,7,5,0,0,7,8.2,2.9,8.5,69.01
0,9,7,0,0,0,6,5.3,2.2,5,1,0,0,2,2,2.1,5.14,38.35
1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.77
0,9,7,0,0,2,3,9.2,2.1,4,0,0,3,1,0,0,0,31.04
0,14,7,0,0,0,7,7.6,2.75,7,0,0,0,7,5.6,2.1,6,47.84
0,9,7,5,0,0,6,8.8,3.8,7,2,0,0,6,8,2.8,9.7,70.8
1,7,7,0,0,0,5,8.1,2.6,5,0,0,0,6,2.4,2.3,9,45.36
0,12,7,1,2,0,7,4.6,1.7,6,3,1,0,7,4.6,2.6,7.78,52.03
1,4,7,0,5,5,1,9.6,3.2,7,0,1,0,11,8.6,3.2,3,56.36
0,12,7,0,1,0,7,8.2,2.4,7,0,1,0,7,3.6,2.25,10.5,49.95
